SG NO	Security Goal	Responsible 	Project team Comments
SG-61	Restful APIs - All API communications shall be protected using HTTPS/TLS 1.2 or higher.	Samritha/Rahitha 	"Development completed. All REST API endpoints are designed to use HTTPS with 
TLS 1.2 or higher. HTTPS enforcement and certificate configuration will be 
enabled during deployment. Evidence will be provided post-deployment. "
SG-62	Restful APIs - Rate limiting and throttling controls shall be implemented to prevent abuse and denial-of-service attacks.	Samritha/Rahitha 	"Implemented. Rate limiting and throttling controls are enforced to prevent 
abuse, excessive API consumption, and denial-of-service attacks. API requests 
exceeding configured thresholds are automatically restricted and monitored. "
SG-63	Restful APIs - Input validation and output sanitization shall be implemented to prevent API-based attacks.	Samritha/Rahitha 	In Progress
SG-64	Restful APIs - API requests and responses shall be logged and monitored for security and traceability purposes.	Samritha/Rahitha 	Implemented. Waiting for the central logs server access.
SG-65	Restful APIs - API keys, tokens, and credentials shall be securely stored and managed in Azure Key Vault.	Samritha/Rahitha 	Implemented
SG-69	Users from unauthorized or external entities shall be restricted from accessing the application.	Samritha/Rahitha 	Implemented. SSO is enabled 
SG-70	Container images shall be scanned for vulnerabilities, malware, and outdated packages before deployment.	Samritha/Rahitha 	"For dev and UAT: Implemented. Each image pushed to container is scanned for 
vulnerabilities.  
For prod: Need to implement"
SG-73	Application dependencies should be scanned for known CVEs.	Samritha/Rahitha/tejas	"Before Pulling an images - As developers - will do basic scanning 

post that Azure should be done by Bosch Azure Team"
SG-74	Static code analysis has to be conducted to identify security vulnerabilities.	Samritha/Rahitha 	In progress 
SG-75	Open AI Service - Only approved models listed in the organization’s approved AI catalog shall be used.	Samritha/Rahitha 	Implemented 
SG-76	Application development shall adhere to secure coding standards.	Samritha/Rahitha 	"Development completed. Application development follows secure coding 
standards including input validation, output sanitization, secure authentication 
and authorization, secure secret management through Azure Key Vault, 
protection against OWASP Top 10 vulnerabilities, secure error handling, and 
encrypted communication using HTTPS/TLS. "
SG-77	Cryptographic materials, including keys that are no longer required, shall be securely deleted or destroyed in accordance with security standards and retention requirements.	Samritha/Rahitha 	Implemented to deleted keys safely and also the expired ones.
SG-78	Unsupported or end-of-life software shall not be used in production environments.	Samritha/Rahitha 	Implemented 
SG-79	Access to install or modify software shall be restricted to authorized personnel only.	Samritha/Rahitha 	"Implemented and deployment is in progress. Role based access is implemented 
needs to automated using the OneIDM integration. "
SG-80	Authentication Data - SSO token generated to be secured in transit and at rest, the same to be session based token.	Samritha/Rahitha 	Implemented SSO. 
SG-81	Self-assessments must be performed before go-live.	Samritha/Rahitha 	In progress 
SG-82	Authentication Data - Avoid sending sensitive data in GET requests. For sensitive data, use POST requests, as the body is not exposed in the URL.	Samritha/Rahitha 	Implemented - Testing is in progress
SG-83	Authorization Management Concept should be documented.	Samritha/Rahitha/Tejas	In Progress
SG-84	Tokens should be short-lived to reduce security risk.	Samritha/Rahitha 	Implemented. Session time out for 15 minutes 
SG-85	Session cookies should be Secure, HttpOnly. Do not store it in browser localStorage or sessionStorage.	Samritha/Rahitha 	mplement – Will Confirm Back after Testing 
